Lmod has detected the following error: The following module(s) could not be
loaded: "openmpi/4.0.3"

Please check the spelling or version number. Also try "module spider ..."

It is also possible that the module is not available for this node type.
See https://docs.icer.msu.edu/available_software/overview/ for details. 


Compiling reverseGOL-mpi.c...
Running MPI program with 4 tasks...
Worker 2: Generation 0 with best=0 fitness=0
Worker 3: Generation 0 with best=0 fitness=0
Worker 0: Generation 0 with best=0 fitness=0
Worker 1: Generation 0 with best=0 fitness=0
Worker 0: Generation 1 with best=0 fitness=0
Worker 1: Generation 1 with best=0 fitness=0
Worker 3: Generation 1 with best=0 fitness=0
Worker 2: Generation 1 with best=0 fitness=0
Worker 1: Generation 2 with best=0 fitness=0
Worker 0: Generation 2 with best=0 fitness=0
Worker 3: Generation 2 with best=0 fitness=0
Worker 2: Generation 2 with best=0 fitness=0
Worker 1: Generation 3 with best=0 fitness=0
Worker 0: Generation 3 with best=0 fitness=0
Worker 2: Generation 3 with best=0 fitness=0
Worker 3: Generation 3 with best=0 fitness=0
Worker 1: Generation 4 with best=0 fitness=0
Worker 0: Generation 4 with best=0 fitness=0
Worker 2: Generation 4 with best=0 fitness=0
Worker 3: Generation 4 with best=0 fitness=0
Worker 1: Generation 5 with best=0 fitness=0
Worker 0: Generation 5 with best=0 fitness=0
Worker 3: Generation 5 with best=0 fitness=0
Worker 2: Generation 5 with best=0 fitness=0
Worker 1: Generation 6 with best=0 fitness=0
Worker 0: Generation 6 with best=0 fitness=0
Worker 2: Generation 6 with best=0 fitness=0
Worker 3: Generation 6 with best=0 fitness=0
Worker 1: Generation 7 with best=0 fitness=0
Worker 0: Generation 7 with best=0 fitness=0
Worker 3: Generation 7 with best=0 fitness=0
Worker 2: Generation 7 with best=0 fitness=0
Worker 1: Generation 8 with best=0 fitness=0
Worker 0: Generation 8 with best=0 fitness=0
Worker 3: Generation 8 with best=0 fitness=0
Worker 2: Generation 8 with best=0 fitness=0
Worker 1: Generation 9 with best=0 fitness=0
Worker 0: Generation 9 with best=0 fitness=0
Worker 3: Generation 9 with best=0 fitness=0
Worker 2: Generation 9 with best=0 fitness=0
Worker 1: Generation 10 with best=0 fitness=0
Worker 0: Generation 10 with best=0 fitness=0
Worker 2: Generation 10 with best=0 fitness=0
Worker 3: Generation 10 with best=0 fitness=0
Worker 1: Generation 11 with best=0 fitness=0
Worker 0: Generation 11 with best=0 fitness=0
Worker 3: Generation 11 with best=0 fitness=0
Worker 2: Generation 11 with best=0 fitness=0
Worker 1: Generation 12 with best=0 fitness=0
Worker 0: Generation 12 with best=0 fitness=0
Worker 3: Generation 12 with best=0 fitness=0
Worker 2: Generation 12 with best=0 fitness=0
Worker 1: Generation 13 with best=0 fitness=0
Worker 0: Generation 13 with best=0 fitness=0
Worker 3: Generation 13 with best=0 fitness=0
Worker 2: Generation 13 with best=0 fitness=0
Worker 1: Generation 14 with best=0 fitness=0
Worker 0: Generation 14 with best=0 fitness=0
Worker 3: Generation 14 with best=0 fitness=0
Worker 2: Generation 14 with best=0 fitness=0
Worker 1: Generation 15 with best=0 fitness=0
Worker 0: Generation 15 with best=0 fitness=0
Worker 3: Generation 15 with best=0 fitness=0
Worker 2: Generation 15 with best=0 fitness=0
Worker 1: Generation 16 with best=0 fitness=0
Worker 0: Generation 16 with best=0 fitness=0
Worker 3: Generation 16 with best=0 fitness=0
Worker 2: Generation 16 with best=0 fitness=0
Worker 1: Generation 17 with best=0 fitness=0
Worker 0: Generation 17 with best=0 fitness=0
Worker 2: Generation 17 with best=0 fitness=0
Worker 3: Generation 17 with best=0 fitness=0
Worker 1: Generation 18 with best=0 fitness=0
Worker 0: Generation 18 with best=0 fitness=0
Worker 2: Generation 18 with best=0 fitness=0
Worker 3: Generation 18 with best=0 fitness=0
Worker 1: Generation 19 with best=0 fitness=0
Worker 0: Generation 19 with best=0 fitness=0
Worker 2: Generation 19 with best=0 fitness=0
Worker 3: Generation 19 with best=0 fitness=0
Worker 1: Generation 20 with best=0 fitness=0
Worker 0: Generation 20 with best=0 fitness=0
Worker 3: Generation 20 with best=0 fitness=0
Worker 2: Generation 20 with best=0 fitness=0
Worker 1: Generation 21 with best=0 fitness=0
Worker 0: Generation 21 with best=0 fitness=0
Worker 2: Generation 21 with best=0 fitness=0
Worker 3: Generation 21 with best=0 fitness=0
Worker 1: Generation 22 with best=0 fitness=0
Worker 0: Generation 22 with best=0 fitness=0
Worker 3: Generation 22 with best=0 fitness=0
Worker 2: Generation 22 with best=0 fitness=0
Worker 1: Generation 23 with best=0 fitness=0
Worker 0: Generation 23 with best=0 fitness=0
Worker 3: Generation 23 with best=0 fitness=0
Worker 2: Generation 23 with best=0 fitness=0
Worker 1: Generation 24 with best=0 fitness=0
Worker 0: Generation 24 with best=0 fitness=0
Worker 2: Generation 24 with best=0 fitness=0
Worker 3: Generation 24 with best=0 fitness=0
Worker 1: Generation 25 with best=0 fitness=0
Worker 0: Generation 25 with best=0 fitness=0
Worker 3: Generation 25 with best=0 fitness=0
Worker 2: Generation 25 with best=0 fitness=0
Worker 1: Generation 26 with best=0 fitness=0
Worker 0: Generation 26 with best=0 fitness=0
Worker 2: Generation 26 with best=0 fitness=0
Worker 3: Generation 26 with best=0 fitness=0
Worker 1: Generation 27 with best=0 fitness=0
Worker 0: Generation 27 with best=0 fitness=0
Worker 3: Generation 27 with best=0 fitness=0
Worker 2: Generation 27 with best=0 fitness=0
Worker 1: Generation 28 with best=0 fitness=0
Worker 0: Generation 28 with best=0 fitness=0
Worker 3: Generation 28 with best=0 fitness=0
Worker 2: Generation 28 with best=0 fitness=0
Worker 1: Generation 29 with best=0 fitness=0
Worker 0: Generation 29 with best=0 fitness=0
Worker 2: Generation 29 with best=0 fitness=0
Worker 3: Generation 29 with best=0 fitness=0
Worker 1: Generation 30 with best=0 fitness=0
Worker 0: Generation 30 with best=0 fitness=0
Worker 3: Generation 30 with best=0 fitness=0
Worker 2: Generation 30 with best=0 fitness=0
Worker 1: Generation 31 with best=0 fitness=0
Worker 0: Generation 31 with best=0 fitness=0
Worker 2: Generation 31 with best=0 fitness=0
Worker 3: Generation 31 with best=0 fitness=0
Worker 1: Generation 32 with best=0 fitness=0
Worker 0: Generation 32 with best=0 fitness=0
Worker 2: Generation 32 with best=0 fitness=0
Worker 3: Generation 32 with best=0 fitness=0
Worker 1: Generation 33 with best=0 fitness=0
Worker 0: Generation 33 with best=0 fitness=0
Worker 2: Generation 33 with best=0 fitness=0
Worker 3: Generation 33 with best=0 fitness=0
Worker 1: Generation 34 with best=0 fitness=0
Worker 0: Generation 34 with best=0 fitness=0
Worker 3: Generation 34 with best=0 fitness=0
Worker 2: Generation 34 with best=0 fitness=0
Worker 1: Generation 35 with best=0 fitness=0
Worker 0: Generation 35 with best=0 fitness=0
Worker 2: Generation 35 with best=0 fitness=0
Worker 3: Generation 35 with best=0 fitness=0
Worker 1: Generation 36 with best=0 fitness=0
Worker 0: Generation 36 with best=0 fitness=0
Worker 3: Generation 36 with best=0 fitness=0
Worker 2: Generation 36 with best=0 fitness=0
Worker 1: Generation 37 with best=0 fitness=0
Worker 0: Generation 37 with best=0 fitness=0
Worker 3: Generation 37 with best=0 fitness=0
Worker 2: Generation 37 with best=0 fitness=0
Worker 1: Generation 38 with best=0 fitness=0
Worker 0: Generation 38 with best=0 fitness=0
Worker 3: Generation 38 with best=0 fitness=0
Worker 2: Generation 38 with best=0 fitness=0
Worker 1: Generation 39 with best=0 fitness=0
Worker 0: Generation 39 with best=0 fitness=0
Worker 3: Generation 39 with best=0 fitness=0
Worker 2: Generation 39 with best=0 fitness=0
Worker 1: Generation 40 with best=0 fitness=0
Worker 0: Generation 40 with best=0 fitness=0
Worker 3: Generation 40 with best=0 fitness=0
Worker 2: Generation 40 with best=0 fitness=0
Worker 1: Generation 41 with best=0 fitness=0
Worker 0: Generation 41 with best=0 fitness=0
Worker 3: Generation 41 with best=0 fitness=0
Worker 2: Generation 41 with best=0 fitness=0
Worker 1: Generation 42 with best=0 fitness=0
Worker 0: Generation 42 with best=0 fitness=0
Worker 2: Generation 42 with best=0 fitness=0
Worker 3: Generation 42 with best=0 fitness=0
Worker 1: Generation 43 with best=0 fitness=0
Worker 0: Generation 43 with best=0 fitness=0
Worker 3: Generation 43 with best=0 fitness=0
Worker 2: Generation 43 with best=0 fitness=0
Worker 1: Generation 44 with best=0 fitness=0
Worker 0: Generation 44 with best=0 fitness=0
Worker 3: Generation 44 with best=0 fitness=0
Worker 2: Generation 44 with best=0 fitness=0
Worker 1: Generation 45 with best=0 fitness=0
Worker 0: Generation 45 with best=0 fitness=0
Worker 3: Generation 45 with best=0 fitness=0
Worker 2: Generation 45 with best=0 fitness=0
Worker 1: Generation 46 with best=0 fitness=0
Worker 0: Generation 46 with best=0 fitness=0
Worker 2: Generation 46 with best=0 fitness=0
Worker 3: Generation 46 with best=0 fitness=0
Worker 1: Generation 47 with best=0 fitness=0
Worker 0: Generation 47 with best=0 fitness=0
Worker 3: Generation 47 with best=0 fitness=0
Worker 2: Generation 47 with best=0 fitness=0
Worker 1: Generation 48 with best=0 fitness=0
Worker 0: Generation 48 with best=0 fitness=0
Worker 2: Generation 48 with best=0 fitness=0
Worker 3: Generation 48 with best=0 fitness=0
Worker 1: Generation 49 with best=0 fitness=0
Worker 0: Generation 49 with best=0 fitness=0
Worker 3: Generation 49 with best=0 fitness=0
Worker 2: Generation 49 with best=0 fitness=0
Worker 1: Generation 50 with best=0 fitness=0
Worker 0: Generation 50 with best=0 fitness=0
Worker 3: Generation 50 with best=0 fitness=0
Worker 2: Generation 50 with best=0 fitness=0
Worker 1: Generation 51 with best=0 fitness=0
Worker 0: Generation 51 with best=0 fitness=0
Worker 3: Generation 51 with best=0 fitness=0
Worker 2: Generation 51 with best=0 fitness=0
Worker 1: Generation 52 with best=0 fitness=0
Worker 0: Generation 52 with best=0 fitness=0
Worker 3: Generation 52 with best=0 fitness=0
Worker 2: Generation 52 with best=0 fitness=0
Worker 1: Generation 53 with best=0 fitness=0
Worker 0: Generation 53 with best=0 fitness=0
